Booking Month,0,1,2,3,4,5,6,
202101,"0,00%","4,44%","7,73%","8,38%","7,88%","9,13%","9,31%",
202102,"0,00%","9,35%","9,50%","9,25%","9,44%","11,36%","11,13%",
202103,"3,32%","2,66%","7,31%","4,32%","6,76%","9,53%","8,32%",
202104,"0,02%","14,30%","4,79%","9,78%","19,02%","13,34%","14,72%",
202105,"1,35%","1,78%","3,76%","5,35%","5,97%","6,56%","5,68%",
202106,"0,00%","3,85%","10,47%","7,67%","8,37%","8,12%","7,75%",
202107,"0,00%","5,77%","7,11%","9,28%","9,64%","9,77%","9,50%",
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
